agno, mes, dia, valor
1973,03,27,212.00000
1973,03,28,210.00000
1973,03,29,210.00000
1973,03,30,212.00000
1973,03,31,205.00000
1973,04,01,215.00000
1973,04,02,220.00000
1973,04,03,214.00000
1973,04,04,209.00000
1973,04,05,207.00000
1973,04,06,207.00000
1973,04,07,208.00000
1973,04,08,215.00000
1973,04,09,227.00000
1973,04,10,227.00000
1973,04,11,217.00000
1973,04,12,217.00000
1973,04,13,209.00000
1973,04,14,211.00000
1973,04,15,207.00000
1973,04,16,203.00000
1973,04,17,204.00000
1973,04,18,202.00000
1973,04,19,204.00000
1973,04,20,211.00000
1973,04,21,223.00000
1973,04,22,232.00000
1973,04,23,238.00000
1973,04,24,237.00000
1973,04,25,257.00000
1973,04,26,283.00000
1973,04,27,295.00000
1973,04,28,294.00000
1973,04,29,297.00000
1973,04,30,306.00000
1973,05,01,301.00000
1973,05,02,284.00000
1973,05,03,274.00000
1973,05,04,272.00000
1973,05,05,271.00000
1973,05,06,264.00000
1973,05,07,260.00000
1973,05,08,251.00000
1973,05,09,258.00000
1973,05,10,274.00000
1973,05,11,283.00000
1973,05,12,284.00000
1973,05,13,287.00000
1973,05,14,281.00000
1973,05,15,292.00000
1973,05,16,302.00000
1973,05,17,368.00000
1973,05,18,431.00000
1973,05,19,440.00000
1973,05,20,464.00000
1973,05,21,637.00000
1973,05,22,805.00000
1973,05,23,914.00000
1973,05,24,1510.00000
1973,05,25,1138.00000
1973,05,26,1261.00000
1973,05,27,2643.00000
1973,05,28,2807.00000
1973,05,29,1732.00000
1973,05,30,1321.00000
1973,05,31,1093.00000
1973,06,01,960.00000
1973,06,02,913.00000
1973,06,03,963.00000
1973,06,04,1002.00000
1973,06,05,985.00000
1973,06,06,1152.00000
1973,06,07,1038.00000
1973,06,08,926.00000
1973,06,09,850.00000
1973,06,10,813.00000
1973,06,11,786.00000
1973,06,12,828.00000
1973,06,13,801.00000
1973,06,14,741.00000
1973,06,15,720.00000
1973,06,16,707.00000
1973,06,17,781.00000
1973,06,18,782.00000
1973,06,19,731.00000
1973,06,20,767.00000
1973,06,21,836.00000
1973,06,22,1380.00000
1973,06,23,2371.00000
1973,06,24,1937.00000
1973,06,25,1646.00000
1973,06,26,1923.00000
1973,06,27,1955.00000
1973,06,28,1882.00000
1973,06,29,1706.00000
1973,06,30,2944.00000
1973,07,01,4059.00000
1973,07,02,2645.00000
1973,07,03,2053.00000
1973,07,04,1763.00000
1973,07,05,1575.00000
1973,07,06,1437.00000
1973,07,07,1422.00000
1973,07,08,1759.00000
1973,07,09,2247.00000
1973,07,10,2871.00000
1973,07,11,3001.00000
1973,07,12,2974.00000
1973,07,13,2771.00000
1973,07,14,2604.00000
1973,07,15,2132.00000
1973,07,16,1844.00000
1973,07,17,1672.00000
1973,07,18,1528.00000
1973,07,19,1408.00000
1973,07,20,1332.00000
1973,07,21,1268.00000
1973,12,04,626.00000
1973,12,05,622.00000
1973,12,06,583.00000
1973,12,07,578.00000
1973,12,08,548.00000
1973,12,09,521.00000
1973,12,10,515.00000
1973,12,11,510.00000
1973,12,12,505.00000
1973,12,13,505.00000
1973,12,14,513.00000
1973,12,15,532.00000
1973,12,16,504.00000
1973,12,17,474.00000
1973,12,18,469.00000
1973,12,19,461.00000
1973,12,20,455.00000
1973,12,21,444.00000
1973,12,22,450.00000
1973,12,23,446.00000
1973,12,24,421.00000
1973,12,25,407.00000
1973,12,26,392.00000
1973,12,27,381.00000
1973,12,28,382.00000
1973,12,29,369.00000
1973,12,30,359.00000
1973,12,31,355.00000
1974,01,01,369.00000
1974,01,02,396.00000
1974,01,03,510.00000
1974,01,04,529.00000
1974,01,05,502.00000
1974,01,06,520.00000
1974,01,07,586.00000
1974,01,08,528.00000
1974,01,09,468.00000
1974,01,10,434.00000
1974,01,11,417.00000
1974,01,12,395.00000
1974,01,13,387.00000
1974,01,14,375.00000
1974,01,15,377.00000
1974,01,16,380.00000
1974,01,17,361.00000
1974,01,18,354.00000
1974,01,19,349.00000
1974,01,20,321.00000
1974,01,21,316.00000
1974,01,22,317.00000
1974,01,23,308.00000
1974,01,24,302.00000
1974,01,25,294.00000
1974,01,26,286.00000
1974,01,27,282.00000
1974,01,28,287.00000
1974,01,29,282.00000
1974,01,30,277.00000
1974,01,31,270.00000
1974,02,01,266.00000
1974,02,02,259.00000
1974,02,03,268.00000
1974,02,04,262.00000
1974,02,05,256.00000
1974,02,06,261.00000
1974,02,07,271.00000
1974,02,08,273.00000
1974,02,09,266.00000
1974,02,10,257.00000
1974,02,11,251.00000
1974,02,12,246.00000
1974,02,13,245.00000
1974,02,14,247.00000
1974,02,15,243.00000
1974,02,16,240.00000
1974,02,17,240.00000
1974,02,18,246.00000
1974,02,19,257.00000
1974,02,20,260.00000
1974,02,21,258.00000
1974,02,22,238.00000
1974,02,23,225.00000
1974,02,24,225.00000
1974,02,25,242.00000
1974,02,26,248.00000
1974,02,27,235.00000
1974,02,28,222.00000
1974,03,01,220.00000
1974,03,02,216.00000
1974,03,03,216.00000
1974,03,04,217.00000
1974,03,05,219.00000
1974,03,06,220.00000
1974,03,07,220.00000
1974,03,08,211.00000
1974,03,09,210.00000
